Date,Close,Volume
7-Sep-07,8.65,88700
10-Sep-07,8.64,40700
11-Sep-07,8.49,21800
12-Sep-07,8.31,25100
13-Sep-07,8.26,10300
14-Sep-07,8.44,24900
17-Sep-07,8.15,24500
18-Sep-07,8.31,9600
19-Sep-07,8.33,17200
20-Sep-07,8.41,13800
21-Sep-07,8.42,34800
24-Sep-07,8.42,19100
25-Sep-07,8.32,15300
26-Sep-07,8.42,6100
27-Sep-07,8.55,16200
28-Sep-07,8.11,30700
1-Oct-07,8.45,81000
2-Oct-07,8.52,63300
3-Oct-07,8.5,73400
4-Oct-07,8.64,27200
5-Oct-07,8.57,27400
8-Oct-07,8.58,25700
9-Oct-07,8.65,48400
10-Oct-07,8.45,32300
11-Oct-07,8.8,129200
12-Oct-07,8.78,52600
15-Oct-07,9.05,104400
16-Oct-07,8.79,37900
17-Oct-07,8.84,48700
18-Oct-07,9.02,45600
19-Oct-07,9.28,47000
22-Oct-07,9.71,89600
23-Oct-07,9.57,45900
24-Oct-07,10.06,82300
25-Oct-07,10.15,58000
26-Oct-07,10.08,51800
29-Oct-07,10.02,53900
30-Oct-07,9.57,45000
31-Oct-07,9.57,32000
1-Nov-07,9.4,33600
2-Nov-07,9.7,71500
5-Nov-07,9.59,82900
6-Nov-07,9.24,74200
7-Nov-07,9.46,58130
8-Nov-07,9.57,59225
9-Nov-07,9.55,23000
12-Nov-07,9.75,53400
13-Nov-07,9.86,88700
14-Nov-07,10.0,81825
15-Nov-07,9.84,67300
16-Nov-07,9.93,37500
19-Nov-07,10.03,34200
20-Nov-07,10.37,64950
21-Nov-07,10.14,38640
23-Nov-07,10.06,28500
26-Nov-07,10.12,76800
27-Nov-07,10.89,116600
28-Nov-07,10.75,104470
29-Nov-07,10.41,66200
30-Nov-07,10.67,93100
3-Dec-07,10.46,42610
4-Dec-07,10.74,70900
5-Dec-07,10.49,59300
6-Dec-07,10.03,92300
7-Dec-07,9.98,46800
10-Dec-07,9.55,57500
11-Dec-07,9.21,83400
12-Dec-07,9.44,45700
13-Dec-07,9.56,70500
14-Dec-07,9.47,13000
17-Dec-07,9.17,28161
18-Dec-07,8.92,38800
19-Dec-07,9.07,87763
20-Dec-07,9.28,62900
21-Dec-07,9.21,24100
24-Dec-07,9.48,11800
26-Dec-07,9.06,31212
27-Dec-07,8.74,51300
28-Dec-07,8.7,64488
31-Dec-07,8.8,43900
2-Jan-08,8.97,65900
3-Jan-08,9.12,47700
4-Jan-08,9.13,44500
